nohup: ignoring input
Epoch1 Train Loss: 0.017285382306961233
Epoch1 Val Loss: 0.011809422486070274
New best test loss!


Epoch2 Train Loss: 0.00901077968782337
Epoch2 Val Loss: 0.007017359628350681
New best test loss!


Epoch3 Train Loss: 0.005917752454239487
Epoch3 Val Loss: 0.0049788569724763965
New best test loss!


Epoch4 Train Loss: 0.004484926581041952
Epoch4 Val Loss: 0.003937067279938181
New best test loss!


Epoch5 Train Loss: 0.003710825338207585
Epoch5 Val Loss: 0.0033369976855392356
New best test loss!


Epoch6 Train Loss: 0.003254694595627416
Epoch6 Val Loss: 0.002936153764663478
New best test loss!


Epoch7 Train Loss: 0.0029338728942047533
Epoch7 Val Loss: 0.0026590377975829506
New best test loss!


Epoch8 Train Loss: 0.0027525168764243367
Epoch8 Val Loss: 0.0024558716651165123
New best test loss!


Epoch9 Train Loss: 0.0025640980431616118
Epoch9 Val Loss: 0.002287183388851691
New best test loss!


Epoch10 Train Loss: 0.00243775269313354
Epoch10 Val Loss: 0.0021669662683927336
New best test loss!


Epoch11 Train Loss: 0.00239541277470073
Epoch11 Val Loss: 0.0020731662121529007
New best test loss!


Epoch12 Train Loss: 0.0023057547035812156
Epoch12 Val Loss: 0.001978032555975933
New best test loss!


Epoch13 Train Loss: 0.00223622655544477
Epoch13 Val Loss: 0.0019220710193372684
New best test loss!


Epoch14 Train Loss: 0.0021996738456706707
Epoch14 Val Loss: 0.0018633526157249105
New best test loss!


Epoch15 Train Loss: 0.0021672008329949545
Epoch15 Val Loss: 0.001814251360685929
New best test loss!


Epoch16 Train Loss: 0.002108389852063184
Epoch16 Val Loss: 0.0017635097754174385
New best test loss!


Epoch17 Train Loss: 0.002106946530716629
Epoch17 Val Loss: 0.0017293776644391348
New best test loss!


Epoch18 Train Loss: 0.002081190326474372
Epoch18 Val Loss: 0.0016987467668116171
New best test loss!


Epoch19 Train Loss: 0.002059631401523125
Epoch19 Val Loss: 0.0016723159057663677
New best test loss!


Epoch20 Train Loss: 0.0020328124163948493
Epoch20 Val Loss: 0.0016350993206810417
New best test loss!


Epoch21 Train Loss: 0.002018661313831266
Epoch21 Val Loss: 0.001619631453995177
New best test loss!


Epoch22 Train Loss: 0.001985098147538582
Epoch22 Val Loss: 0.0016060698046121986
New best test loss!


Epoch23 Train Loss: 0.0019549185333755867
Epoch23 Val Loss: 0.001578047157452983
New best test loss!


Epoch24 Train Loss: 0.0019441701418922903
Epoch24 Val Loss: 0.0015595439816573548
New best test loss!


Epoch25 Train Loss: 0.001922065440832699
Epoch25 Val Loss: 0.001544828073898323
New best test loss!


Epoch26 Train Loss: 0.0019204429037904232
Epoch26 Val Loss: 0.0015289024897754114
New best test loss!


Epoch27 Train Loss: 0.0018935560131275128
Epoch27 Val Loss: 0.0015072574733470583
New best test loss!


Epoch28 Train Loss: 0.0018947160367601278
Epoch28 Val Loss: 0.0014954167436587481
New best test loss!


Epoch29 Train Loss: 0.0018910914187962983
Epoch29 Val Loss: 0.001485724215627659
New best test loss!


Epoch30 Train Loss: 0.0018848921840699032
Epoch30 Val Loss: 0.001458016676982872
New best test loss!


Epoch31 Train Loss: 0.0018650375655117778
Epoch31 Val Loss: 0.0014598031647316866


Epoch32 Train Loss: 0.0018562949841330857
Epoch32 Val Loss: 0.0014348657671681192
New best test loss!


Epoch33 Train Loss: 0.001837549259120816
Epoch33 Val Loss: 0.0014295126207182686
New best test loss!


Epoch34 Train Loss: 0.001835119438927609
Epoch34 Val Loss: 0.0014186027056104424
New best test loss!


Epoch35 Train Loss: 0.0018017872225651842
Epoch35 Val Loss: 0.0013994029447024047
New best test loss!


Epoch36 Train Loss: 0.001783242152801095
Epoch36 Val Loss: 0.0013882930664166474
New best test loss!


Epoch37 Train Loss: 0.0017994567921549693
Epoch37 Val Loss: 0.001367835168467837
New best test loss!


Epoch38 Train Loss: 0.0017857343028960544
Epoch38 Val Loss: 0.0013788986916755657


Epoch39 Train Loss: 0.0017860396266459525
Epoch39 Val Loss: 0.0013528963077288215
New best test loss!


Epoch40 Train Loss: 0.0017722851035261544
Epoch40 Val Loss: 0.001351185528284162
New best test loss!


Epoch41 Train Loss: 0.0017460966815478654
Epoch41 Val Loss: 0.0013374080231145751
New best test loss!


Epoch42 Train Loss: 0.001726926039986618
Epoch42 Val Loss: 0.001318580462389941
New best test loss!


Epoch43 Train Loss: 0.0017322914722252179
Epoch43 Val Loss: 0.0013257421759277465


Epoch44 Train Loss: 0.00168212585728498
Epoch44 Val Loss: 0.0013210460401295986


Epoch45 Train Loss: 0.001718946564237496
Epoch45 Val Loss: 0.0012996362986065183
New best test loss!


Epoch46 Train Loss: 0.0016883672479825087
Epoch46 Val Loss: 0.0012894886863640018
New best test loss!


Epoch47 Train Loss: 0.0016758745042636568
Epoch47 Val Loss: 0.001284529301626252
New best test loss!


Epoch48 Train Loss: 0.0016762417122686416
Epoch48 Val Loss: 0.0012781532881327455
New best test loss!


Epoch49 Train Loss: 0.001643552930551149
Epoch49 Val Loss: 0.0012802992001352575


Lr changed to 0.0001
Epoch50 Train Loss: 0.0016232520271362942
Epoch50 Val Loss: 0.0012621498189385543
New best test loss!


yes
Epoch51 Train Loss: 0.0016369559754006425
Epoch51 Val Loss: 0.0012706203511345527


Epoch52 Train Loss: 0.0016258874943344752
Epoch52 Val Loss: 0.0012667901244637837


Epoch53 Train Loss: 0.0016556475278833287
Epoch53 Val Loss: 0.0012633686146560237


Epoch54 Train Loss: 0.0016140464147220862
Epoch54 Val Loss: 0.0012592178657749112
New best test loss!


yes
Epoch55 Train Loss: 0.0016730897147678521
Epoch55 Val Loss: 0.0012585376248215184
New best test loss!


yes
Epoch56 Train Loss: 0.0016621989373570127
